Rx 0.136796 1 6 3 1454 471504
Rx 0.136796 1 6 3 1454 470309
Rx 0.136796 1 6 3 1454 469114
Rx 0.136796 1 6 3 1454 467919
Rx 0.136796 1 6 3 1454 466724
Rx 0.136796 1 6 3 1454 465529
Rx 0.136796 1 6 3 1454 464334
Rx 0.136796 1 6 3 1454 463139
Rx 0.136796 1 6 3 1454 461944
Rx 0.136796 1 6 3 1454 460749
Rx 0.136796 1 6 3 1454 459554
Rx 0.136796 1 6 3 1454 458359
Rx 0.136796 1 6 3 1454 457164
Rx 0.136796 1 6 3 1454 455969
Rx 0.136883 1 6 3 1454 542294
Rx 0.136883 1 6 3 1454 541099
Rx 0.136883 1 6 3 1454 539904
Rx 0.136883 1 6 3 1454 538709
Rx 0.136883 1 6 3 1454 537514
Rx 0.136883 1 6 3 1454 536319
Rx 0.136883 1 6 3 1454 535124
Rx 0.136883 1 6 3 1454 533929
Rx 0.136883 1 6 3 1454 532734
Rx 0.136883 1 6 3 1454 531539
Rx 0.136883 1 6 3 1454 530344
Rx 0.136883 1 6 3 1454 529149
Rx 0.136883 1 6 3 1454 527954
Rx 0.136883 1 6 3 1454 526759
Rx 0.136883 1 6 3 1454 525564
Rx 0.136883 1 6 3 1454 524369
Rx 0.136883 1 6 3 1454 523174
Rx 0.136883 1 6 3 1454 521979
Rx 0.136883 1 6 3 1454 520784
Rx 0.136883 1 6 3 1454 519589
Rx 0.136883 1 6 3 1454 518394
Rx 0.136883 1 6 3 1454 517199
Rx 0.136883 1 6 3 1454 516004
Rx 0.137654 1 6 3 1454 1285689
Rx 0.137654 1 6 3 1454 444244
Rx 0.137654 1 6 3 1454 443049
Rx 0.137654 1 6 3 1454 441854
Rx 0.137654 1 6 3 1454 440659
Rx 0.137654 1 6 3 1454 439464
Rx 0.137654 1 6 3 1454 438269
Rx 0.137654 1 6 3 1454 437074
Rx 0.137654 1 6 3 1454 435879
Rx 0.137654 1 6 3 1454 434684
Rx 0.137654 1 6 3 1454 433489
Rx 0.137654 1 6 3 1454 432294
Rx 0.137654 1 6 3 1454 431099
Rx 0.137654 1 6 3 1454 429904
Rx 0.137937 1 3 3 1454 827604
Rx 0.137937 1 3 3 1454 826409
Rx 0.137937 1 3 3 1454 825214
Rx 0.137937 1 3 3 1454 824019
Rx 0.139608 1 6 3 1454 2382949
Rx 0.141696 1 6 3 1454 485844
Rx 0.141696 1 6 3 1454 484649
Rx 0.141696 1 6 3 1454 483454
Rx 0.141696 1 6 3 1454 482259
Rx 0.141696 1 6 3 1454 481064
Rx 0.141696 1 6 3 1454 479869
Rx 0.141696 1 6 3 1454 478674
Rx 0.141696 1 6 3 1454 477479
Rx 0.141696 1 6 3 1454 476284
Rx 0.141696 1 6 3 1454 475089
Rx 0.141696 1 6 3 1454 473894
Rx 0.141696 1 6 3 1454 472699
Rx 0.141696 1 6 3 1454 471504
