Rx 0.156337 1 6 3 1454 424019
Rx 0.156337 1 6 3 1454 422824
Rx 0.156337 1 6 3 1454 421629
Rx 0.156337 1 6 3 1454 420434
Rx 0.156337 1 6 3 1454 419239
Rx 0.157137 1 4 3 1454 427604
Rx 0.157137 1 4 3 1454 426409
Rx 0.157137 1 4 3 1454 425214
Rx 0.157137 1 4 3 1454 424019
Rx 0.157242 1 6 3 1454 1322204
Rx 0.157242 1 6 3 1454 431764
Rx 0.157242 1 6 3 1454 430569
Rx 0.157242 1 6 3 1454 429374
Rx 0.157242 1 6 3 1454 428179
Rx 0.157242 1 6 3 1454 426984
Rx 0.157242 1 6 3 1454 425789
Rx 0.157242 1 6 3 1454 424594
Rx 0.157242 1 6 3 1454 423399
Rx 0.157242 1 6 3 1454 422204
Rx 0.158108 1 6 3 1454 1287729
Rx 0.158108 1 6 3 1454 398484
Rx 0.158675 1 3 3 1454 815124
Rx 0.158675 1 3 3 1454 813929
Rx 0.158675 1 3 3 1454 812734
Rx 0.158675 1 3 3 1454 811539
Rx 0.158675 1 3 3 1454 810344
Rx 0.158675 1 3 3 1454 809149
Rx 0.158675 1 3 3 1454 807954
Rx 0.158675 1 3 3 1454 806759
Rx 0.158796 1 3 3 1454 926364
Rx 0.158796 1 3 3 1454 881684
Rx 0.158796 1 3 3 1454 880489
Rx 0.158796 1 3 3 1454 879294
Rx 0.158796 1 3 3 1454 878099
Rx 0.158796 1 3 3 1454 876904
Rx 0.158796 1 3 3 1454 875709
Rx 0.158796 1 3 3 1454 874514
Rx 0.158796 1 3 3 1454 873319
Rx 0.158796 1 3 3 1454 872124
Rx 0.158796 1 3 3 1454 870929
Rx 0.158796 1 3 3 1454 869734
Rx 0.158817 1 3 3 1454 889499
Rx 0.158887 1 3 3 1454 959024
Rx 0.158887 1 3 3 1454 573364
Rx 0.158887 1 3 3 1454 572169
Rx 0.158887 1 3 3 1454 570974
Rx 0.158887 1 3 3 1454 569779
Rx 0.158887 1 3 3 1454 568584
Rx 0.158887 1 3 3 1454 567389
Rx 0.159508 1 3 3 1454 1187154
Rx 0.161237 1 6 3 1454 427604
Rx 0.161237 1 6 3 1454 426409
Rx 0.161237 1 6 3 1454 425214
Rx 0.161237 1 6 3 1454 424019
Rx 0.161237 1 6 3 1454 422824
Rx 0.161237 1 6 3 1454 421629
Rx 0.161237 1 6 3 1454 420434
Rx 0.161237 1 6 3 1454 419239
Rx 0.162071 1 4 3 1454 460884
Rx 0.162071 1 4 3 1454 459689
Rx 0.162071 1 4 3 1454 458494
Rx 0.162071 1 4 3 1454 457299
Rx 0.162071 1 4 3 1454 456104
Rx 0.162071 1 4 3 1454 454909
Rx 0.162071 1 4 3 1454 453714
Rx 0.162142 1 6 3 1454 1322204
Rx 0.162142 1 6 3 1454 431764
Rx 0.162142 1 6 3 1454 430569
Rx 0.162142 1 6 3 1454 429374
Rx 0.162142 1 6 3 1454 428179
Rx 0.162142 1 6 3 1454 426984
Rx 0.162142 1 6 3 1454 425789
Rx 0.162142 1 6 3 1454 424594
Rx 0.162142 1 6 3 1454 423399
Rx 0.162142 1 6 3 1454 422204
Rx 0.162142 1 6 3 1454 421009
Rx 0.162908 1 4 3 1454 1290119
Rx 0.163012 1 6 3 1454 1290694
Rx 0.163012 1 6 3 1454 331924
Rx 0.163012 1 6 3 1454 330729
Rx 0.163592 1 3 3 1454 481684
Rx 0.163592 1 3 3 1454 480489
Rx 0.163592 1 3 3 1454 479294
Rx 0.163592 1 3 3 1454 478099
Rx 0.163592 1 3 3 1454 476904
Rx 0.163592 1 3 3 1454 475709
Rx 0.163592 1 3 3 1454 474514
Rx 0.163592 1 3 3 1454 473319
Rx 0.163592 1 3 3 1454 472124
Rx 0.163592 1 3 3 1454 470929
Rx 0.163592 1 3 3 1454 469734
Rx 0.163696 1 3 3 1454 572699
Rx 0.163696 1 3 3 1454 571504
Rx 0.163696 1 3 3 1454 570309
Rx 0.163696 1 3 3 1454 481684
Rx 0.163696 1 3 3 1454 480489
Rx 0.163696 1 3 3 1454 479294
Rx 0.163696 1 3 3 1454 478099
Rx 0.163696 1 3 3 1454 476904
Rx 0.163696 1 3 3 1454 475709
Rx 0.163696 1 3 3 1454 474514
Rx 0.163696 1 3 3 1454 473319
Rx 0.163754 1 3 3 1454 530524
Rx 0.163754 1 3 3 1454 529329
Rx 0.163754 1 3 3 1454 528134
Rx 0.163754 1 3 3 1454 526939
Rx 0.163754 1 3 3 1454 525744
Rx 0.163754 1 3 3 1454 524549
Rx 0.164412 1 3 3 1454 1181754
Rx 0.164412 1 3 3 1454 402644
Rx 0.166133 1 6 3 1454 423444
Rx 0.166133 1 6 3 1454 422249
Rx 0.166133 1 6 3 1454 421054
Rx 0.166133 1 6 3 1454 419859
Rx 0.166133 1 6 3 1454 418664
Rx 0.166133 1 6 3 1454 417469
Rx 0.166133 1 6 3 1454 416274
Rx 0.166992 1 4 3 1454 481684
Rx 0.166992 1 4 3 1454 480489
Rx 0.166992 1 4 3 1454 479294
Rx 0.166992 1 4 3 1454 478099
Rx 0.166992 1 4 3 1454 476904
Rx 0.166992 1 4 3 1454 475709
Rx 0.166992 1 4 3 1454 474514
Rx 0.166992 1 4 3 1454 473319
Rx 0.166992 1 4 3 1454 472124
Rx 0.166992 1 4 3 1454 470929
Rx 0.166992 1 4 3 1454 469734
Rx 0.167046 1 6 3 1454 1327559
Rx 0.167046 1 6 3 1454 435924
Rx 0.167046 1 6 3 1454 434729
Rx 0.167046 1 6 3 1454 433534
Rx 0.167046 1 6 3 1454 432339
Rx 0.167046 1 6 3 1454 431144
Rx 0.167046 1 6 3 1454 429949
Rx 0.167046 1 6 3 1454 428754
Rx 0.167046 1 6 3 1454 427559
Rx 0.167046 1 6 3 1454 426364
Rx 0.167046 1 6 3 1454 425169
Rx 0.167046 1 6 3 1454 423974
Rx 0.167071 1 4 3 1454 547739
Rx 0.167071 1 4 3 1454 546544
Rx 0.167821 1 4 3 1454 1295429
Rx 0.167821 1 4 3 1454 410964
Rx 0.167821 1 4 3 1454 409769
Rx 0.167917 1 6 3 1454 1293659
Rx 0.167917 1 6 3 1454 319444
Rx 0.167917 1 6 3 1454 318249
Rx 0.167917 1 6 3 1454 317054
Rx 0.168492 1 3 3 1454 477524
Rx 0.168492 1 3 3 1454 476329
Rx 0.168492 1 3 3 1454 475134
Rx 0.168492 1 3 3 1454 473939
Rx 0.168492 1 3 3 1454 472744
Rx 0.168492 1 3 3 1454 471549
Rx 0.168492 1 3 3 1454 470354
Rx 0.168492 1 3 3 1454 469159
Rx 0.168492 1 3 3 1454 467964
Rx 0.168492 1 3 3 1454 466769
Rx 0.168492 1 3 3 1454 465574
Rx 0.168596 1 3 3 1454 568539
Rx 0.168596 1 3 3 1454 567344
